t x0 y0 x1 y1 x2 y2 vx0 vy0 vx1 vy1 vx2 vy2 
0.37 0.0170913 0.00100325 1 0.182993 1.98291 0.00100325 0.0878044 0.00770143 -2.30371e-17 0.484597 -0.0878044 0.00770143 
0.38 0.0179908 0.00108423 1 0.187832 1.98201 0.00108423 0.089947 0.00809815 -2.2482e-17 0.483804 -0.089947 0.00809815 
0.39 0.0189115 0.00116926 1 0.192661 1.98109 0.00116926 0.0920736 0.00850255 -2.19269e-17 0.482995 -0.0920736 0.00850255 
0.4 0.0198534 0.0012584 1 0.197483 1.98015 0.0012584 0.0941839 0.00891444 -2.13718e-17 0.482171 -0.0941839 0.00891444 
0.41 0.0208162 0.00135174 1 0.202297 1.97918 0.00135174 0.0962777 0.00933363 -2.10942e-17 0.481333 -0.0962777 0.00933363 
0.42 0.0217997 0.00144934 1 0.207101 1.9782 0.00144934 0.0983549 0.00975991 -2.05391e-17 0.48048 -0.0983549 0.00975991 
0.43 0.0228039 0.00155127 1 0.211897 1.9772 0.00155127 0.100415 0.0101931 -1.69309e-17 0.479614 -0.100415 0.0101931 
0.44 0.0238285 0.0016576 1 0.216685 1.97617 0.0016576 0.102459 0.010633 -1.66533e-17 0.478734 -0.102459 0.010633 
0.45 0.0248733 0.00176839 1 0.221463 1.97513 0.00176839 0.104486 0.0110794 -1.66533e-17 0.477841 -0.104486 0.0110794 
0.46 0.0259383 0.00188372 1 0.226233 1.97406 0.00188372 0.106495 0.0115321 -1.63758e-17 0.476936 -0.106495 0.0115321 
0.47 0.0270231 0.00200363 1 0.230993 1.97298 0.00200363 0.108487 0.011991 -1.249e-17 0.476018 -0.108487 0.011991 
0.48 0.0281278 0.00212818 1 0.235744 1.97187 0.00212818 0.110462 0.0124558 -8.88178e-18 0.475088 -0.110462 0.0124558 
0.49 0.029252 0.00225745 1 0.240485 1.97075 0.00225745 0.11242 0.0129264 -3.05311e-18 0.474147 -0.11242 0.0129264 
0.5 0.0303956 0.00239147 1 0.245217 1.9696 0.00239147 0.11436 0.0134025 4.16334e-18 0.473195 -0.11436 0.0134025 
0.51 0.0315584 0.00253031 1 0.249939 1.96844 0.00253031 0.116283 0.013884 1.11022e-17 0.472232 -0.116283 0.013884 
0.52 0.0327403 0.00267402 1 0.254652 1.96726 0.00267402 0.118188 0.0143707 1.80411e-17 0.471259 -0.118188 0.0143707 
