t,alpha,alpha_dot
0.475,0.0533127,-1.54076
0.48,0.0456027,-1.54319
0.485,0.0378814,-1.54524
0.49,0.0301509,-1.5469
0.495,0.022413,-1.54819
0.5,0.0146696,-1.5491
0.505,0.00692263,-1.54963
0.51,-0.000826067,-1.54978
0.515,-0.00857456,-1.54955
0.52,-0.0163209,-1.54894
0.525,-0.0240633,-1.54795
0.53,-0.0317998,-1.54658
0.535,-0.0395285,-1.54483
0.54,-0.0472475,-1.5427
0.545,-0.0549549,-1.5402
0.55,-0.0626489,-1.53732
0.555,-0.0703274,-1.53406
0.56,-0.0779888,-1.53042
0.565,-0.085631,-1.52641
0.57,-0.0932523,-1.52203
0.575,-0.100851,-1.51728
0.58,-0.108424,-1.51216
0.585,-0.115972,-1.50666
0.59,-0.123491,-1.50081
0.595,-0.130979,-1.49458
0.6,-0.138436,-1.48799
0.605,-0.145858,-1.48105
0.61,-0.153246,-1.47374
0.615,-0.160595,-1.46607
0.62,-0.167906,-1.45805
0.625,-0.175175,-1.44968
0.63,-0.182402,-1.44095
0.635,-0.189584,-1.43188
0.64,-0.19672,-1.42247
0.645,-0.203808,-1.41271
0.65,-0.210847,-1.40261
0.655,-0.217834,-1.39218
0.66,-0.224768,-1.38141
0.665,-0.231647,-1.37032
0.67,-0.238471,-1.35889
0.675,-0.245236,-1.34715
0.68,-0.251942,-1.33508
0.685,-0.258586,-1.32269
0.69,-0.265168,-1.30999
0.695,-0.271686,-1.29698
0.7,-0.278137,-1.28367
0.705,-0.284522,-1.27005
0.71,-0.290837,-1.25613
0.715,-0.297083,-1.24192
0.72,-0.303256,-1.22742
0.725,-0.309356,-1.21263
0.73,-0.315382,-1.19755
0.735,-0.321331,-1.1822
0.74,-0.327203,-1.16657
0.745,-0.332997,-1.15067
0.75,-0.33871,-1.13451
0.755,-0.344341,-1.11808
0.76,-0.34989,-1.10139
0.765,-0.355355,-1.08445
0.77,-0.360734,-1.06726
0.775,-0.366027,-1.04983
0.78,-0.371232,-1.03215
0.785,-0.376348,-1.01424
0.79,-0.381374,-0.996099
0.795,-0.386309,-0.977731
0.8,-0.391151,-0.95914
0.805,-0.3959,-0.940331
0.81,-0.400554,-0.92131
0.815,-0.405112,-0.902081
0.82,-0.409574,-0.882648
0.825,-0.413939,-0.863017
0.83,-0.418204,-0.843192
0.835,-0.42237,-0.823178
0.84,-0.426436,-0.80298
0.845,-0.4304,-0.782603
0.85,-0.434261,-0.762051
0.855,-0.43802,-0.74133
0.86,-0.441674,-0.720444
0.865,-0.445224,-0.699399
0.87,-0.448668,-0.678198
0.875,-0.452006,-0.656848
0.88,-0.455236,-0.635353
0.885,-0.458359,-0.613717
0.89,-0.461373,-0.591947
0.895,-0.464278,-0.570047
0.9,-0.467074,-0.548022
0.905,-0.469758,-0.525877
0.91,-0.472332,-0.503617
0.915,-0.474794,-0.481246
0.92,-0.477144,-0.458771
0.925,-0.479382,-0.436196
0.93,-0.481506,-0.413526
0.935,-0.483517,-0.390766
0.94,-0.485414,-0.367922
0.945,-0.487196,-0.344997
0.95,-0.488864,-0.321998
0.955,-0.490416,-0.298929
0.96,-0.491853,-0.275795
0.965,-0.493174,-0.252602
0.97,-0.494379,-0.229354
0.975,-0.495467,-0.206056
0.98,-0.496439,-0.182715
0.985,-0.497294,-0.159333
0.99,-0.498032,-0.135918
0.995,-0.498653,-0.112473
1,-0.499157,-0.0890037
1.005,-0.499543,-0.0655154
1.01,-0.499812,-0.0420131
1.015,-0.499964,-0.0185016
1.02,-0.499997,0.00501376
1.025,-0.499913,0.0285281
1.03,-0.499712,0.0520363
1.035,-0.499393,0.0755333
1.04,-0.498957,0.099014
1.045,-0.498403,0.122473
1.05,-0.497732,0.145906
1.055,-0.496944,0.169308
1.06,-0.496039,0.192673
1.065,-0.495017,0.215997
1.07,-0.493879,0.239273
1.075,-0.492625,0.262499
1.08,-0.491254,0.285667
1.085,-0.489768,0.308774
1.09,-0.488167,0.331814
1.095,-0.48645,0.354782
1.1,-0.484619,0.377673
1.105,-0.482674,0.400482
1.11,-0.480614,0.423204
1.115,-0.478442,0.445834
1.12,-0.476156,0.468368
1.125,-0.473758,0.490799
1.13,-0.471248,0.513122
1.135,-0.468627,0.535334
1.14,-0.465895,0.557429
1.145,-0.463053,0.579401
1.15,-0.460101,0.601247
1.155,-0.457041,0.62296
1.16,-0.453872,0.644536
1.165,-0.450596,0.66597
1.17,-0.447213,0.687257
1.175,-0.443723,0.708392
1.18,-0.440129,0.72937
1.185,-0.43643,0.750186
1.19,-0.432627,0.770836
1.195,-0.428722,0.791314
1.2,-0.424714,0.811615
1.205,-0.420606,0.831736
1.21,-0.416397,0.851669
1.215,-0.41209,0.871412
1.22,-0.407684,0.890959
1.225,-0.40318,0.910306
1.23,-0.398581,0.929447
1.235,-0.393886,0.948378
1.24,-0.389097,0.967094
1.245,-0.384216,0.985591
1.25,-0.379242,1.00386
1.255,-0.374177,1.02191
1.26,-0.369023,1.03972
1.265,-0.363781,1.05729
1.27,-0.358451,1.07462
1.275,-0.353035,1.09171
1.28,-0.347534,1.10854
1.285,-0.34195,1.12511
1.29,-0.336283,1.14143
1.295,-0.330536,1.15748
1.3,-0.324709,1.17327
1.305,-0.318804,1.18878
1.31,-0.312822,1.20402
1.315,-0.306764,1.21897
1.32,-0.300632,1.23364
1.325,-0.294428,1.24802
1.33,-0.288153,1.2621
1.335,-0.281808,1.27589
1.34,-0.275394,1.28938
1.345,-0.268914,1.30257
1.35,-0.262369,1.31545
1.355,-0.25576,1.32801
1.36,-0.24909,1.34026
1.365,-0.242358,1.35219
1.37,-0.235568,1.3638
1.375,-0.228721,1.37509
1.38,-0.221818,1.38605
1.385,-0.214861,1.39667
1.39,-0.207852,1.40696
1.395,-0.200792,1.41691
1.4,-0.193683,1.42653
1.405,-0.186527,1.43579
1.41,-0.179326,1.44472
1.415,-0.17208,1.45329
1.42,-0.164793,1.46151
1.425,-0.157466,1.46938
1.43,-0.1501,1.4769
1.435,-0.142698,1.48405
1.44,-0.13526,1.49085
1.445,-0.12779,1.49728
1.45,-0.120288,1.50335
1.455,-0.112757,1.50905
1.46,-0.105198,1.51439
1.465,-0.0976136,1.51935
1.47,-0.0900052,1.52395
1.475,-0.0823747,1.52817
1.48,-0.0747241,1.53202
1.485,-0.0670552,1.53549
1.49,-0.0593698,1.53859
1.495,-0.0516699,1.54131
1.5,-0.0439573,1.54366
1.505,-0.0362339,1.54562
1.51,-0.0285017,1.54721
1.515,-0.0207625,1.54842
1.52,-0.0130181,1.54925
1.525,-0.00527062,1.5497
1.53,0.00247819,1.54976
1.535,0.0102264,1.54945
1.54,0.0179721,1.54876
1.545,0.0257134,1.54769
1.55,0.0334484,1.54624
1.555,0.0411751,1.54441
1.56,0.0488918,1.5422
1.565,0.0565965,1.53962
1.57,0.0642873,1.53665
1.575,0.0719624,1.53331
1.58,0.0796199,1.5296
1.585,0.0872578,1.52551
1.59,0.0948743,1.52105
1.595,0.102468,1.51622
1.6,0.110036,1.51102
1.605,0.117577,1.50545
1.61,0.12509,1.49951
1.615,0.132572,1.49321
1.62,0.140021,1.48654
1.625,0.147437,1.47952
1.63,0.154816,1.47213
1.635,0.162157,1.46439
1.64,0.169459,1.4563
1.645,0.17672,1.44785
1.65,0.183937,1.43905
1.655,0.19111,1.42991
1.66,0.198236,1.42042
1.665,0.205313,1.41059
1.67,0.212341,1.40042
1.675,0.219317,1.38991
1.68,0.226239,1.37908
1.685,0.233107,1.36791
1.69,0.239918,1.35642
1.695,0.246671,1.3446
1.7,0.253363,1.33246
1.705,0.259995,1.32001
1.71,0.266563,1.30725
1.715,0.273067,1.29417
1.72,0.279504,1.28079
1.725,0.285874,1.26711
1.73,0.292175,1.25313
1.735,0.298405,1.23885
1.74,0.304563,1.22429
1.745,0.310647,1.20944
1.75,0.316657,1.1943
1.755,0.32259,1.17889
1.76,0.328445,1.1632
1.765,0.334221,1.14725
1.77,0.339917,1.13103
1.775,0.345531,1.11454
1.78,0.351062,1.0978
1.785,0.356509,1.08081
1.79,0.36187,1.06356
1.795,0.367144,1.04608
1.8,0.37233,1.02835
1.805,0.377427,1.01039
1.81,0.382434,0.992202
1.815,0.387349,0.973785
1.82,0.392171,0.955148
1.825,0.3969,0.936294
1.83,0.401534,0.917228
1.835,0.406072,0.897955
1.84,0.410513,0.878479
1.845,0.414856,0.858807
1.85,0.419101,0.838941
1.855,0.423245,0.818887
1.86,0.427289,0.798651
1.865,0.431232,0.778236
1.87,0.435071,0.757648
1.875,0.438808,0.736891
1.88,0.44244,0.71597
1.885,0.445967,0.694891
1.89,0.449389,0.673658
1.895,0.452704,0.652277
1.9,0.455911,0.630751
1.905,0.459011,0.609087
1.91,0.462002,0.587289
1.915,0.464884,0.565361
1.92,0.467655,0.54331
1.925,0.470316,0.52114
1.93,0.472867,0.498856
1.935,0.475305,0.476463
1.94,0.477631,0.453966
1.945,0.479844,0.431371
1.95,0.481945,0.408681
1.955,0.483931,0.385903
1.96,0.485803,0.36304
1.965,0.487561,0.340099
1.97,0.489204,0.317085
1.975,0.490732,0.294002
1.98,0.492144,0.270855
1.985,0.49344,0.247649
1.99,0.494621,0.224391
1.995,0.495684,0.201083
2,0.496631,0.177733
2.005,0.497462,0.154344
2.01,0.498175,0.130921
2.015,0.498771,0.107471
2.02,0.499249,0.0839973
2.025,0.499611,0.0605055
2.03,0.499854,0.0370008
2.035,0.499981,0.0134881
2.04,0.499989,-0.0100275
2.045,0.49988,-0.0335409
2.05,0.499654,-0.0570471
2.055,0.49931,-0.0805411
2.06,0.498849,-0.104018
2.065,0.49827,-0.127472
2.07,0.497574,-0.150899
2.075,0.496761,-0.174293
2.08,0.495831,-0.197649
2.085,0.494784,-0.220963
2.09,0.493621,-0.24423
2.095,0.492342,-0.267443
2.1,0.490947,-0.290599
2.105,0.489436,-0.313692
2.11,0.48781,-0.336717
2.115,0.486069,-0.359669
2.12,0.484214,-0.382543
2.125,0.482244,-0.405334
2.13,0.480161,-0.428037
2.135,0.477964,-0.450647
2.14,0.475654,-0.473159
2.145,0.473232,-0.495567
2.15,0.470699,-0.517868
2.155,0.468054,-0.540055
2.16,0.465298,-0.562124
2.165,0.462433,-0.58407
2.17,0.459458,-0.605887
2.175,0.456374,-0.627572
2.18,0.453182,-0.649118
2.185,0.449883,-0.670521
2.19,0.446477,-0.691776
2.195,0.442966,-0.712878
2.2,0.439349,-0.733822
2.205,0.435628,-0.754603
2.21,0.431803,-0.775217
2.215,0.427876,-0.795657
2.22,0.423847,-0.815921
2.225,0.419717,-0.836001
2.23,0.415487,-0.855895
2.235,0.411158,-0.875596
2.24,0.406732,-0.895101
2.245,0.402208,-0.914404
2.25,0.397588,-0.933501
2.255,0.392873,-0.952386
2.26,0.388064,-0.971056
2.265,0.383163,-0.989506
2.27,0.37817,-1.00773
2.275,0.373086,-1.02572
2.28,0.367913,-1.04349
2.285,0.362651,-1.06101
2.29,0.357303,-1.07828
2.295,0.351869,-1.09532
2.3,0.34635,-1.11209
2.305,0.340749,-1.12862
2.31,0.335065,-1.14488
2.315,0.3293,-1.16087
2.32,0.323456,-1.1766
2.325,0.317535,-1.19205
2.33,0.311536,-1.20723
2.335,0.305463,-1.22212
2.34,0.299316,-1.23673
2.345,0.293096,-1.25105
2.35,0.286806,-1.26507
2.355,0.280446,-1.2788
2.36,0.274018,-1.29222
2.365,0.267524,-1.30534
2.37,0.260965,-1.31815
2.375,0.254343,-1.33065
2.38,0.247659,-1.34283
2.385,0.240915,-1.3547
2.39,0.234113,-1.36624
2.395,0.227254,-1.37745
2.4,0.220339,-1.38834
2.405,0.213371,-1.39889
2.41,0.206351,-1.40911
2.415,0.19928,-1.41899
2.42,0.192161,-1.42853
2.425,0.184995,-1.43773
2.43,0.177785,-1.44657
2.435,0.17053,-1.45507
2.44,0.163234,-1.46322
2.445,0.155899,-1.47102
2.45,0.148525,-1.47845
2.455,0.141115,-1.48553
2.46,0.13367,-1.49225
2.465,0.126193,-1.4986
2.47,0.118685,-1.5046
2.475,0.111147,-1.51022
2.48,0.103583,-1.51548
2.485,0.0959933,-1.52036
2.49,0.0883801,-1.52488
2.495,0.0807452,-1.52902
2.5,0.0730905,-1.53279
2.505,0.0654179,-1.53618
2.51,0.0577293,-1.5392
2.515,0.0500265,-1.54184
2.52,0.0423115,-1.54411
2.525,0.034586,-1.54599
2.53,0.0268521,-1.5475
2.535,0.0191117,-1.54863
2.54,0.0113665,-1.54937
2.545,0.00361855,-1.54974
2.55,-0.00413029,-1.54973
2.555,-0.0118781,-1.54934
2.56,-0.019623,-1.54856
2.565,-0.0273631,-1.54741
2.57,-0.0350965,-1.54588
2.575,-0.0428213,-1.54397
2.58,-0.0505356,-1.54168
2.585,-0.0582375,-1.53902
2.59,-0.0659251,-1.53597
2.595,-0.0735966,-1.53255
2.6,-0.08125,-1.52876
2.605,-0.0888836,-1.52459
2.61,-0.0964953,-1.52005
2.615,-0.104083,-1.51514
2.62,-0.111646,-1.50986
2.625,-0.119181,-1.50421
2.63,-0.126688,-1.4982
2.635,-0.134163,-1.49182
2.64,-0.141605,-1.48508
2.645,-0.149013,-1.47797
2.65,-0.156384,-1.47051
2.655,-0.163717,-1.46269
2.66,-0.171011,-1.45452
2.665,-0.178262,-1.446
2.67,-0.18547,-1.43713
2.675,-0.192633,-1.42791
2.68,-0.199749,-1.41835
2.685,-0.206816,-1.40845
2.69,-0.213833,-1.39821
2.695,-0.220797,-1.38763
2.7,-0.227708,-1.37672
2.705,-0.234564,-1.36549
2.71,-0.241363,-1.35392
2.715,-0.248103,-1.34204
2.72,-0.254782,-1.32983
2.725,-0.2614,-1.31732
2.73,-0.267955,-1.30448
2.735,-0.274445,-1.29134
2.74,-0.280868,-1.2779
2.745,-0.287223,-1.26415
2.75,-0.293509,-1.25011
2.755,-0.299724,-1.23577
2.76,-0.305866,-1.22115
2.765,-0.311935,-1.20623
2.77,-0.317928,-1.19104
2.775,-0.323845,-1.17557
2.78,-0.329683,-1.15982
2.785,-0.335443,-1.14381
2.79,-0.341121,-1.12753
2.795,-0.346717,-1.11099
2.8,-0.352231,-1.0942
2.805,-0.357659,-1.07715
2.81,-0.363002,-1.05986
2.815,-0.368257,-1.04232
2.82,-0.373424,-1.02454
2.825,-0.378502,-1.00653
2.83,-0.383489,-0.988294
2.835,-0.388385,-0.96983
2.84,-0.393187,-0.951146
2.845,-0.397896,-0.932246
2.85,-0.402509,-0.913136
2.855,-0.407027,-0.893819
2.86,-0.411447,-0.874301
2.865,-0.41577,-0.854587
2.87,-0.419993,-0.834681
2.875,-0.424116,-0.814588
2.88,-0.428138,-0.794313
2.885,-0.432059,-0.773861
2.89,-0.435877,-0.753236
2.895,-0.439591,-0.732444
2.9,-0.443201,-0.711489
2.905,-0.446706,-0.690377
2.91,-0.450104,-0.669112
2.915,-0.453397,-0.647699
2.92,-0.456581,-0.626144
2.925,-0.459658,-0.60445
2.93,-0.462625,-0.582624
2.935,-0.465484,-0.56067
2.94,-0.468232,-0.538593
2.945,-0.47087,-0.516398
2.95,-0.473396,-0.494091
2.955,-0.47581,-0.471675
2.96,-0.478112,-0.449157
2.965,-0.480302,-0.426541
2.97,-0.482378,-0.403832
2.975,-0.48434,-0.381035
2.98,-0.486188,-0.358156
2.985,-0.487921,-0.335199
2.99,-0.48954,-0.312169
2.995,-0.491043,-0.289072
3,-0.49243,-0.265912
3.005,-0.493702,-0.242695
3.01,-0.494857,-0.219425
3.015,-0.495896,-0.196108
3.02,-0.496818,-0.172749
3.025,-0.497623,-0.149352
3.03,-0.498312,-0.125924
3.035,-0.498883,-0.102468
3.04,-0.499336,-0.07899
3.045,-0.499672,-0.0554951
3.05,-0.499891,-0.0319882
3.055,-0.499992,-0.00847447
3.06,-0.499976,0.0150411
3.065,-0.499842,0.0385534
3.07,-0.49959,0.0620574
3.075,-0.499221,0.0855481
3.08,-0.498735,0.10902
3.085,-0.498131,0.132469
3.09,-0.49741,0.155889
3.095,-0.496572,0.179276
3.1,-0.495618,0.202624
3.105,-0.494546,0.225928
3.11,-0.493358,0.249184
3.115,-0.492054,0.272385
3.12,-0.490635,0.295528
3.125,-0.489099,0.318607
3.13,-0.487449,0.341617
3.135,-0.485683,0.364553
3.14,-0.483803,0.38741
3.145,-0.481809,0.410182
3.15,-0.479702,0.432866
3.155,-0.477481,0.455455
3.16,-0.475147,0.477945
3.165,-0.472702,0.500331
3.17,-0.470144,0.522608
3.175,-0.467476,0.54477
3.18,-0.464697,0.566813
3.185,-0.461808,0.588732
3.19,-0.45881,0.610522
3.195,-0.455703,0.632177
3.2,-0.452488,0.653693
3.205,-0.449166,0.675065
3.21,-0.445738,0.696288
3.215,-0.442203,0.717357
3.22,-0.438564,0.738267
3.225,-0.434821,0.759012
3.23,-0.430974,0.779589
3.235,-0.427025,0.799993
3.24,-0.422975,0.820217
3.245,-0.418824,0.840259
3.25,-0.414573,0.860112
3.255,-0.410223,0.879772
3.26,-0.405775,0.899234
3.265,-0.401231,0.918493
3.27,-0.396591,0.937545
3.275,-0.391856,0.956385
3.28,-0.387027,0.975009
3.285,-0.382106,0.99341
3.29,-0.377093,1.01159
3.295,-0.37199,1.02953
3.3,-0.366798,1.04724
3.305,-0.361518,1.06471
3.31,-0.356152,1.08194
3.315,-0.350699,1.09891
3.32,-0.345163,1.11564
3.325,-0.339544,1.1321
3.33,-0.333842,1.14831
3.335,-0.328061,1.16425
3.34,-0.3222,1.17992
3.345,-0.316262,1.19531
3.35,-0.310248,1.21043
3.355,-0.304158,1.22526
3.36,-0.297996,1.2398
3.365,-0.291761,1.25406
3.37,-0.285455,1.26802
3.375,-0.279081,1.28168
3.38,-0.272639,1.29504
3.385,-0.266131,1.3081
3.39,-0.259559,1.32084
3.395,-0.252923,1.33327
3.4,-0.246226,1.34539
3.405,-0.23947,1.35718
3.41,-0.232655,1.36866
3.415,-0.225784,1.3798
3.42,-0.218858,1.39062
3.425,-0.211878,1.4011
3.43,-0.204847,1.41125
3.435,-0.197766,1.42105
3.44,-0.190637,1.43052
3.445,-0.183462,1.43964
3.45,-0.176241,1.44842
3.455,-0.168978,1.45684
3.46,-0.161674,1.46491
3.465,-0.15433,1.47263
3.47,-0.146948,1.47999
3.475,-0.13953,1.48699
3.48,-0.132079,1.49364
3.485,-0.124595,1.49991
3.49,-0.11708,1.50583
3.495,-0.109537,1.51137
3.5,-0.101967,1.51655
3.505,-0.094372,1.52136
3.51,-0.086754,1.52579
3.515,-0.0791147,1.52986
3.52,-0.0714561,1.53355
3.525,-0.0637799,1.53686
3.53,-0.0560881,1.5398
3.535,-0.0483825,1.54236
3.54,-0.0406651,1.54454
3.545,-0.0329378,1.54635
3.55,-0.0252023,1.54777
3.555,-0.0174607,1.54882
3.56,-0.00971474,1.54949
3.565,-0.00196644,1.54977
3.57,0.00578234,1.54968
3.575,0.0135297,1.5492
3.58,0.0212738,1.54835
3.585,0.0290126,1.54712
3.59,0.0367443,1.54551
3.595,0.044467,1.54351
3.6,0.0521788,1.54114
3.605,0.0598778,1.5384
3.61,0.0675622,1.53527
3.615,0.0752299,1.53178
3.62,0.0828793,1.5279
3.625,0.0905083,1.52365
3.63,0.0981152,1.51904
3.635,0.105698,1.51405
3.64,0.113255,1.50869
3.645,0.120784,1.50296
3.65,0.128284,1.49687
3.655,0.135752,1.49041
3.66,0.143188,1.48359
3.665,0.150588,1.47641
3.67,0.157951,1.46887
3.675,0.165276,1.46098
3.68,0.17256,1.45274
3.685,0.179803,1.44414
3.69,0.187001,1.43519
3.695,0.194154,1.4259
3.7,0.20126,1.41627
3.705,0.208316,1.40629
3.71,0.215322,1.39598
3.715,0.222275,1.38533
3.72,0.229175,1.37435
3.725,0.236018,1.36305
3.73,0.242805,1.35142
3.735,0.249532,1.33946
3.74,0.256199,1.32719
3.745,0.262803,1.31461
3.75,0.269344,1.30171
3.755,0.27582,1.2885
3.76,0.282229,1.27499
3.765,0.288569,1.26118
3.77,0.29484,1.24708
3.775,0.30104,1.23268
3.78,0.307166,1.21799
3.785,0.313219,1.20302
3.79,0.319196,1.18776
3.795,0.325096,1.17223
3.8,0.330918,1.15643
3.805,0.33666,1.14036
3.81,0.342321,1.12403
3.815,0.3479,1.10743
3.82,0.353395,1.09058
3.825,0.358805,1.07348
3.83,0.36413,1.05614
3.835,0.369366,1.03855
3.84,0.374515,1.02072
3.845,0.379573,1.00266
3.85,0.384541,0.984376
3.855,0.389417,0.965865
3.86,0.394199,0.947134
3.865,0.398888,0.928189
3.87,0.403481,0.909034
3.875,0.407978,0.889675
3.88,0.412377,0.870114
3.885,0.416678,0.850359
3.89,0.42088,0.830412
3.895,0.424982,0.81028
3.9,0.428983,0.789967
3.905,0.432882,0.769478
3.91,0.436677,0.748817
3.915,0.440369,0.72799
3.92,0.443957,0.707001
3.925,0.447439,0.685856
3.93,0.450815,0.664559
3.935,0.454085,0.643115
3.94,0.457246,0.62153
3.945,0.4603,0.599808
3.95,0.463244,0.577954
3.955,0.466079,0.555973
3.96,0.468804,0.533871
3.965,0.471417,0.511651
3.97,0.47392,0.48932
3.975,0.47631,0.466883
3.98,0.478589,0.444343
3.985,0.480754,0.421706
3.99,0.482806,0.398978
3.995,0.484743,0.376164
4,0.486567,0.353267
4.005,0.488276,0.330294
4.01,0.48987,0.30725
4.015,0.491348,0.284139
4.02,0.492711,0.260967
4.025,0.493958,0.237738
4.03,0.495088,0.214458
4.035,0.496102,0.191131
4.04,0.497,0.167764
4.045,0.49778,0.14436
4.05,0.498443,0.120925
4.055,0.498989,0.0974639
4.06,0.499418,0.0739819
4.065,0.499729,0.050484
4.07,0.499923,0.0269753
4.075,0.499999,0.00346074
4.08,0.499957,-0.0200546
4.085,0.499798,-0.0435655
4.09,0.499522,-0.0670671
4.095,0.499128,-0.0905543
4.1,0.498616,-0.114022
4.105,0.497987,-0.137465
4.11,0.497241,-0.160879
4.115,0.496379,-0.184257
4.12,0.495399,-0.207596
4.125,0.494303,-0.230891
4.13,0.49309,-0.254135
4.135,0.491761,-0.277325
4.14,0.490317,-0.300454
4.145,0.488757,-0.323519
4.15,0.487082,-0.346513
4.155,0.485292,-0.369433
4.16,0.483388,-0.392272
4.165,0.481369,-0.415026
4.17,0.479238,-0.43769
4.175,0.476993,-0.460259
4.18,0.474635,-0.482727
4.185,0.472166,-0.50509
4.19,0.469584,-0.527343
4.195,0.466892,-0.54948
4.2,0.46409,-0.571497
4.205,0.461178,-0.593389
4.21,0.458156,-0.61515
4.215,0.455026,-0.636777
4.22,0.451789,-0.658262
4.225,0.448444,-0.679603
4.23,0.444993,-0.700793
4.235,0.441436,-0.721829
4.24,0.437775,-0.742704
4.245,0.43401,-0.763414
4.25,0.430141,-0.783954
4.255,0.42617,-0.80432
4.26,0.422098,-0.824506
4.265,0.417926,-0.844508
4.27,0.413653,-0.86432
4.275,0.409283,-0.883938
4.28,0.404814,-0.903357
4.285,0.400249,-0.922573
4.29,0.395589,-0.94158
4.295,0.390834,-0.960374
4.3,0.385986,-0.978951
4.305,0.381045,-0.997305
4.31,0.376013,-1.01543
4.315,0.370891,-1.03333
4.32,0.36568,-1.05099
4.325,0.360381,-1.0684
4.33,0.354996,-1.08558
4.335,0.349526,-1.1025
4.34,0.343972,-1.11917
4.345,0.338335,-1.13558
4.35,0.332616,-1.15173
4.355,0.326818,-1.16761
4.36,0.320941,-1.18322
4.365,0.314986,-1.19856
4.37,0.308956,-1.21361
4.375,0.302851,-1.22838
4.38,0.296672,-1.24287
4.385,0.290422,-1.25706
4.39,0.284102,-1.27096
4.395,0.277713,-1.28456
4.4,0.271257,-1.29785
4.405,0.264735,-1.31084
4.41,0.258149,-1.32352
4.415,0.251501,-1.33588
4.42,0.244791,-1.34793
4.425,0.238022,-1.35966
4.43,0.231195,-1.37106
4.435,0.224312,-1.38214
4.44,0.217374,-1.39288
4.445,0.210383,-1.40329
4.45,0.203342,-1.41337
4.455,0.19625,-1.4231
4.46,0.189111,-1.43249
4.465,0.181926,-1.44154
4.47,0.174696,-1.45024
4.475,0.167424,-1.45859
4.48,0.160111,-1.46659
4.485,0.152759,-1.47423
4.49,0.145369,-1.48152
4.495,0.137944,-1.48844
4.5,0.130486,-1.495
4.505,0.122995,-1.5012
4.51,0.115474,-1.50704
4.515,0.107925,-1.51251
4.52,0.10035,-1.51761
4.525,0.0927497,-1.52233
4.53,0.085127,-1.52669
4.535,0.0774834,-1.53067
4.54,0.0698208,-1.53428
4.545,0.0621412,-1.53752
4.55,0.0544463,-1.54038
4.555,0.0467381,-1.54286
4.56,0.0390184,-1.54496
4.565,0.0312891,-1.54668
4.57,0.0235522,-1.54803
4.575,0.0158095,-1.54899
4.58,0.00806288,-1.54958
4.585,0.000314313,-1.54978
4.59,-0.00743433,-1.54961
4.595,-0.0151811,-1.54905
4.6,-0.0229242,-1.54812
4.605,-0.0306617,-1.54681
