t,alpha,alpha_dot
0,0.5,0
0.005,0.499941,-0.023515
0.01,0.499765,-0.0470249
0.015,0.499471,-0.0705247
0.02,0.49906,-0.0940093
0.025,0.498531,-0.117474
0.03,0.497885,-0.140913
0.035,0.497122,-0.164321
0.04,0.496242,-0.187695
0.045,0.495245,-0.211028
0.05,0.494132,-0.234315
0.055,0.492902,-0.257551
0.06,0.491556,-0.280732
0.065,0.490095,-0.303853
0.07,0.488518,-0.326907
0.075,0.486826,-0.349891
0.08,0.485019,-0.372799
0.085,0.483098,-0.395626
0.09,0.481063,-0.418367
0.095,0.478914,-0.441018
0.1,0.476653,-0.463572
0.105,0.474279,-0.486025
0.11,0.471793,-0.508372
0.115,0.469195,-0.530608
0.12,0.466487,-0.552728
0.125,0.463668,-0.574727
0.13,0.46074,-0.5966
0.135,0.457702,-0.618342
0.14,0.454557,-0.639947
0.145,0.451303,-0.661412
0.15,0.447943,-0.682731
0.155,0.444476,-0.703899
0.16,0.440904,-0.724911
0.165,0.437227,-0.745762
0.17,0.433447,-0.766448
0.175,0.429563,-0.786963
0.18,0.425577,-0.807302
0.185,0.42149,-0.827461
0.19,0.417303,-0.847435
0.195,0.413016,-0.867219
0.2,0.408631,-0.886808
0.205,0.404149,-0.906198
0.21,0.39957,-0.925383
0.215,0.394895,-0.944359
0.22,0.390126,-0.963122
0.225,0.385264,-0.981666
0.23,0.38031,-0.999987
0.235,0.375265,-1.01808
0.24,0.37013,-1.03594
0.245,0.364906,-1.05356
0.25,0.359594,-1.07095
0.255,0.354197,-1.08808
0.26,0.348714,-1.10497
0.265,0.343147,-1.1216
0.27,0.337498,-1.13798
0.275,0.331768,-1.15408
0.28,0.325958,-1.16993
0.285,0.320069,-1.1855
0.29,0.314103,-1.20079
0.295,0.308062,-1.2158
0.3,0.301946,-1.23053
0.305,0.295757,-1.24498
0.31,0.289497,-1.25913
0.315,0.283166,-1.27298
0.32,0.276767,-1.28653
0.325,0.270301,-1.29978
0.33,0.26377,-1.31273
0.335,0.257175,-1.32536
0.34,0.250517,-1.33768
0.345,0.243798,-1.34968
0.35,0.237021,-1.36136
0.355,0.230185,-1.37271
0.36,0.223294,-1.38374
0.365,0.216349,-1.39443
0.37,0.20935,-1.4048
0.375,0.202301,-1.41482
0.38,0.195203,-1.4245
0.385,0.188057,-1.43385
0.39,0.180865,-1.44284
0.395,0.173629,-1.45149
0.4,0.16635,-1.45979
0.405,0.159031,-1.46774
0.41,0.151674,-1.47533
0.415,0.144279,-1.48256
0.42,0.136849,-1.48943
0.425,0.129385,-1.49594
0.43,0.12189,-1.50209
0.435,0.114365,-1.50787
0.44,0.106812,-1.51328
0.445,0.0992327,-1.51832
0.45,0.0916293,-1.523
0.455,0.0840033,-1.5273
0.46,0.0763569,-1.53123
0.465,0.0686917,-1.53478
0.47,0.0610097,-1.53796
